Section Summaries,,, = missing sample,RED, = sample too low,,,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume,,,,,,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean (µm),Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand,,,,,,,
363,U1484,A,11,H,2,1.39,1.39,91.4,92.79,90.854,91.4, 84A_11_2-0_7459_01.$ls,4.11,4.36,4.000,4.29,0.536,4.36,29.1,47.3219,59.3033,70.7094,90.8916,99.8167,100,100,100,47.32,52.49,0.18,,,,,,,
363,U1484,A,11,H,3,1.25,1.25,92.79,94.04,91.981,92.79, 84A_11_3-0_7460_01.$ls,3.47,3.6,18.000,3.03,0.757,3.6,16.1,53.5229,66.5644,78.8097,100,100,100,100,100,53.52,46.48,0.00,,,,,,,
363,U1484,A,11,H,4,1.2,1.2,94.04,95.24,93.144,94.04, 84A_11_4-0_7461_01.$ls,3.48,3.62,16,3.06,0.745,3.63,16.1,53.2377,66.3727,78.3995,100,100,100,100,100,53.24,46.76,0.00,,,,,,,
363,U1484,A,11,H,5,1.41,1.41,95.24,96.65,94.153,95.24,,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1484,A,11,H,6,1.41,1.41,96.65,98.06,95.503,96.65, 84A_11_6-0_7462_01.$ls,3.34,3.41,18,3.05,0.731,3.41,16.1,55.2375,68.0864,79.596,100,100,100,100,100,55.24,44.76,0.00,,,,,,,
363,U1484,A,11,H,7,1.41,1.41,98.06,99.47,96.872,98.06, 84A_11_7-0_7463_01.$ls,3.09,3.23,4.000,2.83,0.745,3.23,13.4,57.5474,71.5577,84.3031,100,100,100,100,100,57.55,42.45,0.00,,,,,,,
363,U1484,A,11,H,8,0.81,0.81,99.47,100.28,98.727,99.47, 84A_11_8-0_7464_01.$ls,3.9,4.14,18.000,3.03,0.834,4.14,16.9,48.8548,62.3809,75.5204,100,100,100,100,100,48.85,51.15,0.00,,,,,,,
363,U1484,A,11,H,9,0.62,0.62,100.28,100.9,99.434,100, 84A_11_9-0_7465_01.$ls,4.08,4.13,16.000,3.46,0.755,4.13,19.5,49.034,60.5683,71.3703,96.0015,100,100,100,100,49.03,50.97,0.00,,,,,,,
363,U1484,A,11,H,CC,0.32,0.32,100.9,101.22,99.716,100, 84A_11_cc-0_7466_01.$ls,6.15,,,3.89,0.964,6.28,39.1,38.386,48.8707,60.124,85.7545,99.722,100,100,100,38.39,61.34,0.28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
